Service Request Number,Service Request Type,City Department,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Neighborhood
21-00159873,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 08:09:01 AM,Find It Fix It Apps,Reported,"1628 N 45TH ST, SEATTLE, WA 98103",1269692.82632613,244959.498986284,47.66161154,-122.3378457,POINT (-122.3378457 47.66161154),98103,4,NORTH,WALLINGFORD
21-00159906,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 08:33:24 AM,Find It Fix It Apps,Reported,"5402 BALLARD AVE NW, SEATTLE, WA 98107",1258182.93395504,247422.766466151,47.66773676,-122.38474546,POINT (-122.38474546 47.66773676),98107,6,NORTH,ADAMS
21-00159898,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 08:25:06 AM,Find It Fix It Apps,Closed,"1222 E FIR ST, SEATTLE, WA 98122",1274701.87391921,223427.797821084,47.60286025,-122.31583936,POINT (-122.31583936 47.60286025),98122,3,EAST,MINOR
21-00159991,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 09:35:39 AM,Find It Fix It Apps,Reported,"513 N 36TH ST, SEATTLE, WA 98103",1266266.8933999,241269.433715623,47.6513128,-122.35145023,POINT (-122.35145023 47.6513128),98103,6,NORTH,FREMONT
21-00160199,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 11:54:41 AM,Find It Fix It Apps,Closed,"4812 RAINIER AVE S, SEATTLE, WA 98118",1281948.99904032,207280.50149076,47.55897939,-122.28523379,POINT (-122.28523379 47.55897939),98118,2,SOUTH,COLUMBIA CITY
21-00160416,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 02:48:01 PM,Find It Fix It Apps,Closed,"3661 PHINNEY AVE N, SEATTLE, WA 98103",1265457.66741332,242265.752432971,47.65399985,-122.35481273,POINT (-122.35481273 47.65399985),98103,6,NORTH,FREMONT
21-00160488,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/21/2021 03:44:30 PM,Find It Fix It Apps,Closed,"3300 MERIDIAN AVE N, SEATTLE, WA 98103",1270659.64840071,239896.844345395,47.64778673,-122.33352257,POINT (-122.33352257 47.64778673),98103,4,NORTH,WALLINGFORD
21-00160814,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/22/2021 08:36:38 AM,Find It Fix It Apps,Closed,"4822 RAINIER AVE S, SEATTLE, WA 98118",1281766.29863925,207229.820114772,47.55883102,-122.28596973,POINT (-122.28596973 47.55883102),98118,2,SOUTH,COLUMBIA CITY
21-00160813,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/22/2021 08:34:10 AM,Citizen Web Intake App,Closed,"1120 8TH AVE ROYAL MANOR CONDOMINIUM, SEATTLE, WA 98101",1271388.12337617,225838.859602185,47.60929311,-122.32945901,POINT (-122.32945901 47.60929311),98101,7,EAST,FIRST HILL
21-00161326,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/22/2021 03:25:19 PM,Find It Fix It Apps,Reported,"1423 1ST AVE, SEATTLE, WA 98101",1268834.7503245,225433.93884559,47.60804668,-122.3397762,POINT (-122.3397762 47.60804668),98101,7,WEST,PIKE-MARKET
21-00161525,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/22/2021 05:18:58 PM,Find It Fix It Apps,Open,"2022 E UNION ST, SEATTLE, WA 98122",1277382.59866527,227096.024815776,47.61305586,-122.30525949,POINT (-122.30525949 47.61305586),98122,3,EAST,MINOR
21-00161531,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/22/2021 05:21:06 PM,Find It Fix It Apps,Open,"1400 23RD AVE, SEATTLE, WA 98122",1278073.24996822,227109.420498205,47.61310149,-122.30259233,POINT (-122.30259233 47.61310149),98122,3,EAST,MANN
21-00161729,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/23/2021 09:16:38 AM,Find It Fix It Apps,Closed,"13535 LINDEN AVE N, SEATTLE, WA 98133",1267620.05492674,269014.877464128,47.72743476,-122.34817691,POINT (-122.34817691 47.72743476),98133,5,NORTH,BITTER LAKE
21-00161717,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/23/2021 09:02:31 AM,Find It Fix It Apps,Closed,"333 N 134TH ST, SEATTLE, WA 98133",1266153.62586611,268593.459074737,47.7262004,-122.3541003,POINT (-122.3541003 47.7262004),98133,5,NORTH,BITTER LAKE
21-00161855,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/23/2021 10:57:48 AM,Find It Fix It Apps,Reported,"314 E PIKE ST, SEATTLE, WA 98122",1271986.59001405,227663.362525512,47.61432589,-122.32717687,POINT (-122.32717687 47.61432589),98122,3,EAST,BROADWAY
21-00162438,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/24/2021 10:28:16 AM,Find It Fix It Apps,Reported,"7201 GREENWOOD AVE N, SEATTLE, WA 98103",1265453.79947454,252079.363602136,47.68089824,-122.35561602,POINT (-122.35561602 47.68089824),98103,6,NORTH,PHINNEY RIDGE
21-00162510,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/24/2021 12:09:00 PM,Find It Fix It Apps,Closed,"1137 NE BOAT ST, SEATTLE, WA 98105",1275057.1300379,241385.661856392,47.65242021,-122.31641632,POINT (-122.31641632 47.65242021),98105,4,NORTH,UNIVERSITY DISTRICT
21-00162644,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/24/2021 04:24:55 PM,Citizen Web Intake App,Reported,"3400 FREMONT AVE N, SEATTLE, WA 98103",1266753.2840419,240719.469054297,47.64983165,-122.34943325,POINT (-122.34943325 47.64983165),98103,6,NORTH,FREMONT
21-00162763,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/25/2021 06:26:23 AM,Find It Fix It Apps,Closed,"1495 S HARDY ST, SEATTLE, WA 98108",1274756.89439848,202640.885366075,47.54588657,-122.31399532,POINT (-122.31399532 47.54588657),98108,2,SOUTH,GEORGETOWN
21-00163072,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/26/2021 06:36:21 AM,Find It Fix It Apps,Closed,"12531 28TH AVE NE, SEATTLE, WA 98125",1279876.12434867,266191.405218119,47.72034616,-122.29816876,POINT (-122.29816876 47.72034616),98125,5,NORTH,OLYMPIC HILLS
21-00163138,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/26/2021 08:27:10 AM,Find It Fix It Apps,Reported,"900 N 36TH ST, SEATTLE, WA 98103",1267303.58306335,241166.376324352,47.6510863,-122.34723671,POINT (-122.34723671 47.6510863),98103,4,NORTH,FREMONT
21-00163143,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/26/2021 08:29:09 AM,Find It Fix It Apps,Reported,"819 N 36TH ST, SEATTLE, WA 98103",1267187.28805056,241080.269471873,47.65084402,-122.34770158,POINT (-122.34770158 47.65084402),98103,6,NORTH,FREMONT
21-00163405,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/26/2021 10:54:18 AM,Find It Fix It Apps,Reported,"3400 FREMONT AVE N, SEATTLE, WA 98103",1266753.2840419,240719.469054297,47.64983165,-122.34943325,POINT (-122.34943325 47.64983165),98103,6,NORTH,FREMONT
21-00163875,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/26/2021 04:46:59 PM,Find It Fix It Apps,Closed,"13057 30TH AVE NE, SEATTLE, WA 98125",1280254.04850895,267713.208917187,47.72453711,-122.29675123,POINT (-122.29675123 47.72453711),98125,5,NORTH,OLYMPIC HILLS
21-00164575,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/27/2021 04:17:50 PM,Find It Fix It Apps,Closed,"331 19TH AVE E, SEATTLE, WA 98112",1276835.88185666,230311.737928954,47.6218414,-122.30772538,POINT (-122.30772538 47.6218414),98112,3,EAST,STEVENS
21-00164934,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/28/2021 09:03:30 AM,Find It Fix It Apps,Closed,"5701 22ND AVE NW, SEATTLE, WA 98107",1257986.50124723,248473.9841534,47.67060721,-122.38562858,POINT (-122.38562858 47.67060721),98107,6,NORTH,ADAMS
21-00165070,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/28/2021 10:40:14 AM,Find It Fix It Apps,Open,"3600 FREMONT AVE N, SEATTLE, WA 98103",1266700.49617641,241357.963159229,47.65157889,-122.34969842,POINT (-122.34969842 47.65157889),98103,6,NORTH,FREMONT
21-00165748,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/29/2021 06:16:02 AM,Find It Fix It Apps,Reported,"700 5TH AVE S, SEATTLE, WA 98104",1271837.70711098,221138.744057587,47.59643416,-122.32726688,POINT (-122.32726688 47.59643416),98104,2,WEST,INTERNATIONAL DISTRICT
21-00166097,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/29/2021 12:17:59 PM,Find It Fix It Apps,Closed,"1520 26TH AVE S, SEATTLE, WA 98144",1278854.10544042,218261.43378667,47.58891731,-122.29861275,POINT (-122.29861275 47.58891731),98144,3,SOUTH,ATLANTIC
21-00166275,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/29/2021 02:22:59 PM,Find It Fix It Apps,Closed,"9402 6TH AVE SW, SEATTLE, WA 98106",1267494.34007718,192951.051277532,47.51894023,-122.3426266,POINT (-122.3426266 47.51894023),98106,,,
21-00166855,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/30/2021 10:36:14 AM,Find It Fix It Apps,Reported,"652 S WELLER ST, SEATTLE, WA 98104",1272424.04465146,221550.866826956,47.59759496,-122.32492329,POINT (-122.32492329 47.59759496),98104,2,WEST,INTERNATIONAL DISTRICT
21-00166854,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/30/2021 10:36:12 AM,Find It Fix It Apps,Reported,"618 S WELLER ST, SEATTLE, WA 98104",1272315.24930418,221586.406671536,47.59768659,-122.32536696,POINT (-122.32536696 47.59768659),98104,2,WEST,INTERNATIONAL DISTRICT
21-00167006,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/30/2021 12:02:55 PM,Find It Fix It Apps,Closed,"5709 26TH AVE NW, SEATTLE, WA 98107",1256838.82985742,248455.09888531,47.6704919,-122.39028419,POINT (-122.39028419 47.6704919),98107,6,NORTH,ADAMS
21-00167638,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/31/2021 11:49:49 AM,Find It Fix It Apps,Closed as Duplicate,"426 15TH AVE E, SEATTLE, WA 98112",1275668.95284316,230771.76427467,47.62304094,-122.3124922,POINT (-122.3124922 47.62304094),98112,3,EAST,STEVENS
21-00167637,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/31/2021 11:49:47 AM,Find It Fix It Apps,Reported,"433 15TH AVE E, SEATTLE, WA 98112",1275527.60209805,230733.326538048,47.62292813,-122.31306228,POINT (-122.31306228 47.62292813),98112,3,EAST,BROADWAY
21-00167696,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,07/31/2021 12:58:21 PM,Find It Fix It Apps,Closed,"1962 1ST AVE S, SEATTLE, WA 98134",1270229.5670443,216684.675001932,47.58413993,-122.33343152,POINT (-122.33343152 47.58413993),98134,2,SOUTH,INDUSTRIAL DISTRICT
21-00167976,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/01/2021 07:52:59 AM,Find It Fix It Apps,Closed,"4423 BAGLEY AVE N, SEATTLE, WA 98103",1270931.44519122,244722.460451142,47.6610281,-122.33280154,POINT (-122.33280154 47.6610281),98103,4,NORTH,WALLINGFORD
