Service Request Number,Service Request Type,City Department,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Neighborhood
21-00020039,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,01/31/2021 10:46:15 PM,Find It Fix It Apps,Closed,"2859 W GOVERNMENT WAY, SEATTLE, WA 98199",1255737.42943103,245036.339484576,47.66106018,-122.39447211,POINT (-122.39447211 47.66106018),98199,7,WEST,LAWTON PARK
21-00020121,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/01/2021 08:38:45 AM,Find It Fix It Apps,Closed,"814 E HIGHLAND DR, SEATTLE, WA 98102",1273507.77060815,233584.606859715,47.63063666,-122.3214748,POINT (-122.3214748 47.63063666),98102,3,EAST,BROADWAY
21-00021682,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/03/2021 07:00:51 AM,Find It Fix It Apps,Closed,"2701 BEACON AVE S, SEATTLE, WA 98144",1275266.53072891,214689.294307176,47.57893795,-122.31287001,POINT (-122.31287001 47.57893795),98144,2,SOUTH,NORTH BEACON HILL
21-00022117,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/03/2021 01:57:07 PM,Find It Fix It Apps,Closed,"3224 S LANE ST, SEATTLE, WA 98144",1280841.7943996,221103.376354927,47.59681053,-122.29077741,POINT (-122.29077741 47.59681053),98144,3,EAST,LESCHI
21-00023349,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/05/2021 09:48:12 AM,PremierOne CSR Mobile Apps,Closed,"1509 N 45TH ST, SEATTLE, WA 98103",1269465.72595234,244826.824867657,47.66123571,-122.33875658,POINT (-122.33875658 47.66123571),98103,4,NORTH,WALLINGFORD
21-00023355,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/05/2021 09:52:13 AM,PremierOne CSR Mobile Apps,Closed,"1628 N 45TH ST, SEATTLE, WA 98103",1269692.82639228,244959.497447425,47.66161154,-122.3378457,POINT (-122.3378457 47.66161154),98103,4,NORTH,WALLINGFORD
21-00024424,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/07/2021 06:30:56 AM,Find It Fix It Apps,Closed,"3314 NE 123RD ST, SEATTLE, WA 98125",1281358.94465322,265134.377340942,47.71752608,-122.29206428,POINT (-122.29206428 47.71752608),98125,5,NORTH,CEDAR PARK
21-00025752,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 06:41:07 AM,Find It Fix It Apps,Closed,"8004 GREENWOOD AVE N, SEATTLE, WA 98103",1265637.79102081,254351.744888514,47.6871367,-122.35505164,POINT (-122.35505164 47.6871367),98103,6,NORTH,GREENWOOD
21-00025985,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 10:43:33 AM,Find It Fix It Apps,Closed,"6722 14TH AVE NW, SEATTLE, WA 98117",1260992.62534745,251293.779890693,47.67850166,-122.37365896,POINT (-122.37365896 47.67850166),98117,6,NORTH,WHITTIER HEIGHTS
21-00025998,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 10:49:34 AM,Find It Fix It Apps,Closed,"4011 19TH AVE SW, SEATTLE, WA 98106",1263981.40063791,210894.904120381,47.56793375,-122.35827936,POINT (-122.35827936 47.56793375),98106,1,SOUTHWEST,NORTH DELRIDGE
21-00026118,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 12:28:19 PM,Find It Fix It Apps,Closed,"411 MAYNARD AVE S, SEATTLE, WA 98104",1272372.0483407,222100.541520586,47.59859329,-122.32552803,POINT (-122.32552803 47.59859329),98104,2,WEST,INTERNATIONAL DISTRICT
21-00026558,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 04:58:24 PM,Find It Fix It Apps,Closed,"1536 15TH AVE W, SEATTLE, WA 98119",1260116.03491443,234843.503145564,47.63336437,-122.37587822,POINT (-122.37587822 47.63336437),98119,7,WEST,WEST QUEEN ANNE
21-00026554,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 04:57:23 PM,Find It Fix It Apps,Closed,"719 2ND AVE, SEATTLE, WA 98104",1270252.24990554,223678.062489107,47.60330981,-122.33389214,POINT (-122.33389214 47.60330981),98104,7,WEST,CENTRAL BUSINESS DISTRICT
21-00026595,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/09/2021 05:40:42 PM,Find It Fix It Apps,Closed,"580 GALER ST, SEATTLE, WA 98109",1267887.02636069,234633.409477693,47.63321115,-122.34434961,POINT (-122.34434961 47.63321115),98109,7,WEST,EAST QUEEN ANNE
21-00026752,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/10/2021 09:13:49 AM,PremierOne CSR Mobile Apps,Closed,"407 2ND AVE, SEATTLE, WA 98104",1270709.7508115,222862.454117803,47.60109868,-122.33197363,POINT (-122.33197363 47.60109868),98104,7,WEST,PIONEER SQUARE
21-00026796,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/10/2021 09:46:08 AM,Find It Fix It Apps,Closed as Duplicate,"13035 AURORA AVE N, SEATTLE, WA 98133",1268260.60845376,267885.586719398,47.72437397,-122.34548457,POINT (-122.34548457 47.72437397),98133,5,NORTH,BITTER LAKE
21-00027856,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/11/2021 12:24:22 PM,PremierOne CSR Mobile Apps,Closed,"6532 GREENWOOD AVE N, SEATTLE, WA 98103",1265521.81437301,250398.557071476,47.67629493,-122.35520504,POINT (-122.35520504 47.67629493),98103,6,NORTH,PHINNEY RIDGE
21-00027882,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/11/2021 12:48:26 PM,Find It Fix It Apps,Closed,"9101 LAKE CITY WAY NE, SEATTLE, WA 98115",1277928.24861857,257088.82759375,47.69529428,-122.30537351,POINT (-122.30537351 47.69529428),98115,5,NORTH,WEDGWOOD
21-00028625,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/12/2021 12:23:12 PM,Find It Fix It Apps,Closed,"2023 43RD AVE E, SEATTLE, WA 98112",1284384.29894191,235952.715520122,47.63769568,-122.27755156,POINT (-122.27755156 47.63769568),98112,3,EAST,MADISON PARK
21-00031266,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/17/2021 05:15:05 PM,Find It Fix It Apps,Closed,"105 MERCER ST, SEATTLE, WA 98109",1265195.69024278,231427.304662182,47.62427799,-122.35500599,POINT (-122.35500599 47.62427799),98109,7,WEST,LOWER QUEEN ANNE
21-00031344,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/18/2021 08:03:51 AM,Find It Fix It Apps,Closed,"5323 37TH AVE S, SEATTLE, WA 98118",1281619.49934399,205317.313607149,47.55358123,-122.28641793,POINT (-122.28641793 47.55358123),98118,2,SOUTH,COLUMBIA CITY
21-00031657,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/18/2021 12:21:49 PM,Find It Fix It Apps,Closed,"4427 5TH AVE NE, SEATTLE, WA 98105",1273261.58428407,244683.490759199,47.66104535,-122.32334453,POINT (-122.32334453 47.66104535),98105,4,NORTH,WALLINGFORD
21-00032082,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/19/2021 07:32:33 AM,Find It Fix It Apps,Closed,"1301 SPRING ST, SEATTLE, WA 98104",1273084.62412269,226446.360042852,47.61104846,-122.32263039,POINT (-122.32263039 47.61104846),98104,3,EAST,FIRST HILL
21-00033074,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/20/2021 10:49:01 AM,Find It Fix It Apps,Closed,"318 2ND AVE S, SEATTLE, WA 98104",1270898.37545451,222228.907018758,47.59937222,-122.33115924,POINT (-122.33115924 47.59937222),98104,7,WEST,PIONEER SQUARE
21-00033072,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/20/2021 10:47:00 AM,Find It Fix It Apps,Closed,"318 2ND AVE S, SEATTLE, WA 98104",1270898.37545451,222228.907018758,47.59937222,-122.33115924,POINT (-122.33115924 47.59937222),98104,7,WEST,PIONEER SQUARE
21-00033093,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/20/2021 11:19:15 AM,Find It Fix It Apps,Closed,"117 PREFONTAINE PL S, SEATTLE, WA 98104",1271246.87597874,222864.907101082,47.60113406,-122.32979709,POINT (-122.32979709 47.60113406),98104,7,WEST,PIONEER SQUARE
21-00033310,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/20/2021 05:03:53 PM,Find It Fix It Apps,Closed,"2027 S WASHINGTON ST, SEATTLE, WA 98144",1277325.74984401,222537.563974004,47.60055819,-122.30513649,POINT (-122.30513649 47.60055819),98144,3,EAST,ATLANTIC
21-00033579,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/21/2021 04:30:38 PM,Find It Fix It Apps,Closed,"500 HARVARD AVE E, SEATTLE, WA 98102",1273377.25306914,230888.551708748,47.62324806,-122.32181788,POINT (-122.32181788 47.62324806),98102,3,EAST,BROADWAY
21-00034243,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/22/2021 02:32:40 PM,Find It Fix It Apps,Closed,"3901 1ST AVE NW, SEATTLE, WA 98107",1264824.09144194,242408.142734122,47.65435577,-122.35739438,POINT (-122.35739438 47.65435577),98107,6,NORTH,FREMONT
21-00034262,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/22/2021 02:50:48 PM,Find It Fix It Apps,Closed,"3899 15TH AVE NW, SEATTLE, WA 98107",1260255.53748369,244343.803682786,47.65958029,-122.37610815,POINT (-122.37610815 47.65958029),98107,,NORTH,
21-00034345,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/22/2021 03:45:14 PM,Find It Fix It Apps,Closed,"303 3RD AVE S, SEATTLE, WA 98104",1271026.38827005,222350.238710971,47.59971161,-122.33065004,POINT (-122.33065004 47.59971161),98104,7,WEST,PIONEER SQUARE
21-00034909,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/23/2021 11:02:05 AM,Find It Fix It Apps,Closed,"630 WESTLAKE AVE N, SEATTLE, WA 98109",1269420.56447107,231751.630953786,47.62539467,-122.33790252,POINT (-122.33790252 47.62539467),98109,7,WEST,SOUTH LAKE UNION
21-00035048,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/23/2021 12:20:36 PM,Find It Fix It Apps,Closed,"7778 W GREEN LAKE DR N, SEATTLE, WA 98103",1269549.4297864,253475.108943004,47.6849448,-122.33910361,POINT (-122.33910361 47.6849448),98103,6,NORTH,GREEN LAKE
21-00036073,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/24/2021 12:51:49 PM,Find It Fix It Apps,Closed,"315 MAYNARD AVE S, SEATTLE, WA 98104",1272319.16283753,222255.747018313,47.59952144,-122.32540369,POINT (-122.32540369 47.59952144),98104,2,WEST,INTERNATIONAL DISTRICT
21-00036654,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/25/2021 08:46:55 AM,Find It Fix It Apps,Closed,"5023 BAKER AVE NW, SEATTLE, WA 98107",1264299.44696139,246544.255057412,47.66566413,-122.35985557,POINT (-122.35985557 47.66566413),98107,6,NORTH,PHINNEY RIDGE
21-00037423,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/26/2021 07:05:07 AM,Find It Fix It Apps,Closed,"14485 5TH AVE NE, SEATTLE, WA 98125",1273642.55415421,271253.458052166,47.73389298,-122.32388707,POINT (-122.32388707 47.73389298),98125,5,NORTH,PINEHURST
21-00038294,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/26/2021 06:36:22 PM,Find It Fix It Apps,Closed,"9200 DELRIDGE WAY SW, SEATTLE, WA 98106",1263660.47411355,193769.496484804,47.52097637,-122.35820463,POINT (-122.35820463 47.52097637),98106,1,SOUTHWEST,SOUTH DELRIDGE
21-00038804,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/28/2021 09:40:14 AM,PremierOne CSR Mobile Apps,Closed,"407 2ND AVENUE EXT S, SEATTLE, WA 98104",1270706.25060378,222920.266499938,47.60125696,-122.33199238,POINT (-122.33199238 47.60125696),98104,7,WEST,PIONEER SQUARE
21-00038806,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/28/2021 09:42:15 AM,PremierOne CSR Mobile Apps,Closed,"450 3RD AVE, SEATTLE, WA 98104",1271142.62552973,223190.000896373,47.60201958,-122.3302452,POINT (-122.3302452 47.60201958),98104,7,WEST,PIONEER SQUARE
21-00039021,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/28/2021 06:20:10 PM,Find It Fix It Apps,Closed,"1550 NW MARKET ST, SEATTLE, WA 98107",1259704.16243054,247859.314727575,47.66901721,-122.37860832,POINT (-122.37860832 47.66901721),98107,6,NORTH,ADAMS
21-00039040,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,02/28/2021 07:08:32 PM,Find It Fix It Apps,Closed,"2701 BEACON AVE S, SEATTLE, WA 98144",1275266.53066863,214689.294294348,47.57893795,-122.31287001,POINT (-122.31287001 47.57893795),98144,2,SOUTH,NORTH BEACON HILL
21-00039895,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/01/2021 02:51:33 PM,Find It Fix It Apps,Closed,"500 HARVARD AVE E, SEATTLE, WA 98102",1273377.25306914,230888.551708748,47.62324806,-122.32181788,POINT (-122.32181788 47.62324806),98102,3,EAST,BROADWAY
21-00039915,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/01/2021 02:58:18 PM,Citizen Web Intake App,Closed,"107 PIKE ST, SEATTLE, WA 98101",1268905.3565453,225718.447400331,47.6088303,-122.33951259,POINT (-122.33951259 47.6088303),98101,7,WEST,PIKE-MARKET
21-00040582,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/02/2021 10:12:23 AM,Citizen Web Intake App,Closed,"5212 UNIVERSITY WAY NE ALLEY BEHIND 5212 UNIVERSITY WAY NE, SEATTLE, WA 98105",1275935.99868018,246781.24951781,47.6669367,-122.31265737,POINT (-122.31265737 47.6669367),98105,4,NORTH,UNIVERSITY DISTRICT
21-00041771,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/03/2021 10:55:43 AM,Find It Fix It Apps,Closed,"1406 NW 51ST ST, SEATTLE, WA 98107",1260796.91820857,246682.588962254,47.66585195,-122.37407851,POINT (-122.37407851 47.66585195),98107,6,NORTH,WEST WOODLAND
21-00043368,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/04/2021 04:17:07 PM,Citizen Web Intake App,Closed,"426 14TH AVE E, SEATTLE, WA 98112",1275217.04992879,230697.633594132,47.62281392,-122.31431856,POINT (-122.31431856 47.62281392),98112,3,EAST,BROADWAY
21-00044038,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/05/2021 02:05:10 PM,Find It Fix It Apps,Closed,"5810 COWEN PL NE, SEATTLE, WA 98105",1276082.40282272,248409.758131815,47.67140812,-122.3121903,POINT (-122.3121903 47.67140812),98105,4,NORTH,UNIVERSITY DISTRICT
21-00044563,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/06/2021 10:22:19 AM,Find It Fix It Apps,Closed,"8305 MARY AVE NW, SEATTLE, WA 98117",1260534.89689242,255099.155357293,47.68890681,-122.37582628,POINT (-122.37582628 47.68890681),98117,6,NORTH,WHITTIER HEIGHTS
21-00044720,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/06/2021 01:35:47 PM,Find It Fix It Apps,Closed,"1425 5TH AVE, SEATTLE, WA 98101",1269857.08833926,226247.455280577,47.61033129,-122.33569693,POINT (-122.33569693 47.61033129),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00044722,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/06/2021 01:37:48 PM,Find It Fix It Apps,Closed,"701 PIKE ST, SEATTLE, WA 98101",1270584.44168848,226658.320048399,47.61149635,-122.33278122,POINT (-122.33278122 47.61149635),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00044992,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/07/2021 11:03:08 AM,Citizen Web Intake App,Closed,"5647 UNIVERSITY WAY NE, SEATTLE, WA 98105",1275792.78463726,248232.799552641,47.67090782,-122.31335178,POINT (-122.31335178 47.67090782),98105,4,NORTH,UNIVERSITY DISTRICT
21-00044990,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/07/2021 10:53:04 AM,Find It Fix It Apps,Closed,"3201 22ND AVE W, SEATTLE, WA 98199",1257977.23339234,240466.878213636,47.6486598,-122.38501095,POINT (-122.38501095 47.6486598),98199,7,WEST,LAWTON PARK
21-00045820,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/08/2021 01:37:22 PM,Find It Fix It Apps,Closed,"3500 TROLL AVE N, SEATTLE, WA 98103",1267352.45131622,240881.805457042,47.65030894,-122.34701577,POINT (-122.34701577 47.65030894),98103,4,NORTH,FREMONT
21-00045811,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/08/2021 01:35:17 PM,Find It Fix It Apps,Closed,"310 MINOR AVE N, SEATTLE, WA 98109",1270868.02315376,230435.133535063,47.62186362,-122.33192991,POINT (-122.33192991 47.62186362),98109,7,WEST,SOUTH LAKE UNION
21-00046271,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/08/2021 05:47:13 PM,Find It Fix It Apps,Closed,"3020 WESTLAKE AVE N, SEATTLE, WA 98109",1266686.28131141,239699.891030426,47.64703342,-122.34962354,POINT (-122.34962354 47.64703342),98109,7,WEST,EAST QUEEN ANNE
21-00046515,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/09/2021 09:32:27 AM,Find It Fix It Apps,Closed,"1646 20TH AVE, SEATTLE, WA 98122",1277244.12341728,228397.717679818,47.61663674,-122.30592057,POINT (-122.30592057 47.61663674),98122,3,EAST,MINOR
21-00047209,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/09/2021 03:47:16 PM,Find It Fix It Apps,Closed,"12533 27TH AVE NE, SEATTLE, WA 98125",1279591.35129004,266178.623583619,47.72029626,-122.29932449,POINT (-122.29932449 47.72029626),98125,5,NORTH,OLYMPIC HILLS
21-00047506,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/10/2021 08:12:48 AM,Find It Fix It Apps,Closed,"928 29TH AVE S, SEATTLE, WA 98144",1279728.124341,219953.454107436,47.59360069,-122.29520177,POINT (-122.29520177 47.59360069),98144,3,EAST,LESCHI
21-00047922,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/10/2021 12:06:36 PM,Find It Fix It Apps,Closed,"1105 BOYLSTON AVE E, SEATTLE, WA 98102",1272950.57002751,233090.688562396,47.62925329,-122.32369539,POINT (-122.32369539 47.62925329),98102,3,EAST,BROADWAY
21-00048609,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/10/2021 05:39:06 PM,Find It Fix It Apps,Closed,"1216 1ST AVE, SEATTLE, WA 98101",1269335.13697759,224979.341292536,47.60682748,-122.33771206,POINT (-122.33771206 47.60682748),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00048627,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/10/2021 05:57:14 PM,Find It Fix It Apps,Closed,"217 PIKE ST, SEATTLE, WA 98101",1269279.80493547,225953.881006847,47.6094957,-122.33801355,POINT (-122.33801355 47.6094957),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00048653,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/10/2021 08:00:10 PM,Find It Fix It Apps,Closed,"2231 WESTLAKE AVE, SEATTLE, WA 98121",1269149.13395689,229190.105594204,47.61835907,-122.33879983,POINT (-122.33879983 47.61835907),98121,7,WEST,BELLTOWN
21-00049073,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/11/2021 11:31:16 AM,Find It Fix It Apps,Closed,"600 1ST AVE S, SEATTLE, WA 98134",1270234.41222655,220739.201933597,47.59525352,-122.33373219,POINT (-122.33373219 47.59525352),98134,2,WEST,PIONEER SQUARE
21-00049742,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 08:00:42 AM,Find It Fix It Apps,Closed,"311 NW 53RD ST, SEATTLE, WA 98107",1263965.98048447,247051.455058066,47.66703619,-122.3612495,POINT (-122.3612495 47.66703619),98107,6,NORTH,WEST WOODLAND
21-00049735,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 07:54:40 AM,Find It Fix It Apps,Closed,"5130 3RD AVE NW, SEATTLE, WA 98107",1264168.6376793,246924.351094147,47.66669883,-122.36041695,POINT (-122.36041695 47.66669883),98107,6,NORTH,PHINNEY RIDGE
21-00049767,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 08:20:52 AM,Find It Fix It Apps,Closed,"1520 BOYLSTON AVE, SEATTLE, WA 98122",1272977.94956273,227758.11410718,47.61463829,-122.32316572,POINT (-122.32316572 47.61463829),98122,3,EAST,BROADWAY
21-00050124,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 11:08:08 AM,Find It Fix It Apps,Closed,"1514 SW ALASKA ST, SEATTLE, WA 98106",1264863.75111285,208487.751296345,47.56138372,-122.35451315,POINT (-122.35451315 47.56138372),98106,1,SOUTHWEST,NORTH DELRIDGE
21-00050156,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 11:24:14 AM,Find It Fix It Apps,Closed,"630 WESTLAKE AVE N, SEATTLE, WA 98109",1269420.56447107,231751.630953786,47.62539467,-122.33790252,POINT (-122.33790252 47.62539467),98109,7,WEST,SOUTH LAKE UNION
21-00050607,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/12/2021 03:34:09 PM,Find It Fix It Apps,Closed,"600 1ST AVE S, SEATTLE, WA 98134",1270234.41222655,220739.201933597,47.59525352,-122.33373219,POINT (-122.33373219 47.59525352),98134,2,WEST,PIONEER SQUARE
21-00051156,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/13/2021 12:51:52 PM,Find It Fix It Apps,Closed,"820 JOHN ST, SEATTLE, WA 98109",1268866.11330473,229756.143858888,47.61989538,-122.3399921,POINT (-122.3399921 47.61989538),98109,7,WEST,SOUTH LAKE UNION
21-00051174,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/13/2021 01:12:01 PM,Find It Fix It Apps,Closed,"6750 HOLLY PARK DR S, SEATTLE, WA 98118",1280527.08395177,200992.941309584,47.5416715,-122.29050945,POINT (-122.29050945 47.5416715),98118,2,SOUTH,HOLLY PARK
21-00051385,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/13/2021 06:02:18 PM,Find It Fix It Apps,Closed,"2500 S ATLANTIC ST, SEATTLE, WA 98144",1278504.87236354,218498.552872207,47.58954901,-122.30004603,POINT (-122.30004603 47.58954901),98144,3,SOUTH,ATLANTIC
21-00051397,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/13/2021 07:10:45 PM,Find It Fix It Apps,Closed,"2235 5TH AVE, SEATTLE, WA 98121",1268059.75217653,228248.977575828,47.61572097,-122.34314121,POINT (-122.34314121 47.61572097),98121,7,WEST,BELLTOWN
21-00051429,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/14/2021 08:31:47 AM,Find It Fix It Apps,Closed,"823 NE 57TH ST, SEATTLE, WA 98105",1274373.02465173,247880.628666066,47.66986753,-122.3190856,POINT (-122.3190856 47.66986753),98105,4,NORTH,UNIVERSITY DISTRICT
21-00051426,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/14/2021 08:11:38 AM,Find It Fix It Apps,Closed,"316 N 67TH ST, SEATTLE, WA 98103",1265677.08668941,250976.390082478,47.67788716,-122.35462124,POINT (-122.35462124 47.67788716),98103,6,NORTH,PHINNEY RIDGE
21-00051542,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/14/2021 03:31:01 PM,Find It Fix It Apps,Closed,"7902 29TH AVE SW, SEATTLE, WA 98126",1260924.75016568,197744.123503863,47.53172147,-122.36959528,POINT (-122.36959528 47.53172147),98126,1,SOUTHWEST,ROXHILL
21-00051836,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/15/2021 09:53:23 AM,Find It Fix It Apps,Closed,"5899 AIRPORT WAY S, SEATTLE, WA 98108",1273797.3173,204239.094872994,47.55021656,-122.3180048,POINT (-122.3180048 47.55021656),98108,2,SOUTH,GEORGETOWN
21-00051882,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/15/2021 10:27:39 AM,Find It Fix It Apps,Transferred to Other Dept,"3440 W COMMODORE WAY, SEATTLE, WA 98199",1253928.29472434,246820.607775877,47.66584986,-122.40195964,POINT (-122.40195964 47.66584986),98199,7,WEST,LAWTON PARK
21-00052846,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/15/2021 05:49:06 PM,Find It Fix It Apps,Closed,"1201 UNIVERSITY ST, SEATTLE, WA 98101",1272384.55911957,226788.81776764,47.61194995,-122.32549491,POINT (-122.32549491 47.61194995),98101,3,EAST,FIRST HILL
21-00052922,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/15/2021 07:07:44 PM,Find It Fix It Apps,Closed,"13035 LINDEN AVE N, SEATTLE, WA 98133",1267483.75149978,267784.936764243,47.72405621,-122.34863224,POINT (-122.34863224 47.72405621),98133,5,NORTH,BITTER LAKE
21-00053970,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/16/2021 04:15:18 PM,Find It Fix It Apps,Reported,"844 N 36TH ST, SEATTLE, WA 98103",1267203.37989174,241192.470092889,47.65115242,-122.34764526,POINT (-122.34764526 47.65115242),98103,6,NORTH,FREMONT
21-00054235,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/17/2021 07:02:11 AM,Find It Fix It Apps,Reported,"5300 BALLARD AVE NW, SEATTLE, WA 98107",1258601.12490161,247011.874992996,47.66663363,-122.38301498,POINT (-122.38301498 47.66663363),98107,6,NORTH,ADAMS
21-00055621,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/18/2021 09:50:21 AM,Find It Fix It Apps,Closed,"7556 ROOSEVELT WAY NE, SEATTLE, WA 98115",1274938.34860159,253324.52072759,47.68481899,-122.31721756,POINT (-122.31721756 47.68481899),98115,4,NORTH,ROOSEVELT
21-00055654,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/18/2021 09:58:23 AM,Find It Fix It Apps,Closed,"400 S JACKSON ST, SEATTLE, WA 98104",1271536.2509932,222230.046882839,47.59940935,-122.32857438,POINT (-122.32857438 47.59940935),98104,2,WEST,INTERNATIONAL DISTRICT
21-00055909,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/18/2021 12:09:23 PM,Find It Fix It Apps,Closed,"2500 WESTERN AVE, SEATTLE, WA 98121",1266465.0230546,227741.195484584,47.61424321,-122.34956518,POINT (-122.34956518 47.61424321),98121,7,WEST,BELLTOWN
21-00055944,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/18/2021 12:37:37 PM,Find It Fix It Apps,Closed,"1500 ALASKAN WAY, SEATTLE, WA 98101",1268067.75098274,225572.578234006,47.60796104,-122.34273716,POINT (-122.34273716 47.60796104),98101,7,WEST,PIKE-MARKET
21-00055946,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,03/18/2021 12:39:35 PM,Find It Fix It Apps,Closed,"1500 ALASKAN WAY, SEATTLE, WA 98101",1268067.75098274,225572.578234006,47.60796104,-122.34273716,POINT (-122.34273716 47.60796104),98101,7,WEST,PIKE-MARKET
